Filing Year,Missing,Highest income zip code cases filed,Lowest income zip code cases filed,Middle income quintile cases filed,Total Cases Filed,Percent of violent crimes occuring in highest income zip codes,Percent of violent crimes occuring in lowest income zip codes
2017,3,39,4,19,123,31.7,3.3
2018,3,26,13,25,101,25.7,12.9
2019,3,15,9,22,102,14.7,8.8
2020,10,24,9,23,122,19.7,7.4
2021,6,19,8,39,130,14.6,6.2
2022,3,26,2,24,107,24.3,1.9
2023,3,13,5,24,102,12.7,4.9
2024,2,26,2,20,107,24.3,1.9
2025,5,17,6,26,102,16.7,5.9
