Filing Year,White Victim,NonWhite Victim,Total,Percent involving a white victim,Percent involving a non-white victim
2020,57,65,123,46.3,52.8
2021,80,50,132,60.6,37.9
2022,58,49,110,52.7,44.5
2023,51,51,103,49.5,49.5
2024,57,50,107,53.3,46.7
2025,49,53,103,47.6,51.5
