District,Filing Quarter,Number of violent cases filed involving a child victim
09,2017 Q1,12
09,2017 Q2,6
09,2017 Q3,1
09,2017 Q4,10
09,2018 Q1,8
09,2018 Q2,6
09,2018 Q3,12
09,2018 Q4,9
09,2019 Q1,6
09,2019 Q2,2
09,2019 Q3,5
09,2019 Q4,4
09,2020 Q1,10
09,2020 Q2,10
09,2020 Q3,3
09,2020 Q4,9
09,2021 Q1,19
09,2021 Q2,14
09,2021 Q3,9
09,2021 Q4,8
09,2022 Q1,4
09,2022 Q2,5
09,2022 Q3,5
09,2022 Q4,8
09,2023 Q1,6
09,2023 Q2,10
09,2023 Q3,9
09,2023 Q4,4
09,2024 Q1,11
09,2024 Q2,10
09,2024 Q3,7
09,2024 Q4,5
09,2025 Q1,8
09,2025 Q2,7
09,2025 Q3,6
09,2025 Q4,8
09,2026 Q1,12
09,2026 Q2,3
