Filing Year,Under 18,18-25 y.o.,26-35 y.o.,36+ y.o.,Unknown/Missing
2017,257,399,559,1185,444
2018,220,295,407,811,452
2019,151,228,372,736,362
2020,212,233,369,666,297
2021,200,278,419,807,327
2022,158,214,380,718,244
2023,173,224,391,691,289
2024,224,240,409,816,306
2025,205,235,341,693,363
