Filing Year,Person,Sex Offense,Weapons,Property,Drugs,DUI,Other,Traffic
2020,861,53,48,411,291,466,403,1700
2021,897,63,40,454,272,521,321,1851
2022,888,42,30,356,197,530,244,1158
2023,836,46,31,358,198,565,342,1146
2024,930,58,35,494,228,625,352,1276
2025,939,47,38,429,189,677,349,1287
