District,Filing Quarter,Number of violent cases filed per quarter
09,2017 Q1,27
09,2017 Q2,36
09,2017 Q3,31
09,2017 Q4,36
09,2018 Q1,28
09,2018 Q2,14
09,2018 Q3,31
09,2018 Q4,28
09,2019 Q1,22
09,2019 Q2,19
09,2019 Q3,32
09,2019 Q4,35
09,2020 Q1,31
09,2020 Q2,33
09,2020 Q3,29
09,2020 Q4,30
09,2021 Q1,48
09,2021 Q2,37
09,2021 Q3,27
09,2021 Q4,20
09,2022 Q1,18
09,2022 Q2,34
09,2022 Q3,30
09,2022 Q4,28
09,2023 Q1,24
09,2023 Q2,31
09,2023 Q3,27
09,2023 Q4,21
09,2024 Q1,26
09,2024 Q2,28
09,2024 Q3,23
09,2024 Q4,29
09,2025 Q1,30
09,2025 Q2,24
09,2025 Q3,23
09,2025 Q4,26
09,2026 Q1,31
09,2026 Q2,18
