Filing Quarter,Felony,Misdemeanor,Petty/Offense,Total,Percent of filed cases with a felony top charge
2017 Q1,213,1227,54,1494,14.3
2017 Q2,305,1513,68,1886,16.2
2017 Q3,270,1472,66,1808,14.9
2017 Q4,379,1679,80,2138,17.7
2018 Q1,266,1745,124,2135,12.5
2018 Q2,213,971,70,1254,17.0
2018 Q3,178,1135,75,1388,12.8
2018 Q4,201,970,108,1279,15.7
2019 Q1,213,1030,74,1317,16.2
2019 Q2,216,905,75,1196,18.1
2019 Q3,252,1099,79,1430,17.6
2019 Q4,205,1119,92,1416,14.5
2020 Q1,198,986,50,1234,16.0
2020 Q2,164,662,61,887,18.5
2020 Q3,171,888,71,1130,15.1
2020 Q4,160,760,62,982,16.3
2021 Q1,196,839,32,1067,18.4
2021 Q2,180,830,35,1045,17.2
2021 Q3,130,1084,61,1275,10.2
2021 Q4,128,844,60,1032,12.4
2022 Q1,103,712,30,845,12.2
2022 Q2,117,697,65,879,13.3
2022 Q3,112,666,62,840,13.3
2022 Q4,131,681,69,881,14.9
2023 Q1,126,624,73,823,15.3
2023 Q2,131,745,80,956,13.7
2023 Q3,137,703,94,934,14.7
2023 Q4,102,650,57,809,12.6
2024 Q1,125,753,50,928,13.5
2024 Q2,142,706,83,931,15.3
2024 Q3,125,908,129,1162,10.8
2024 Q4,134,758,85,977,13.7
2025 Q1,111,759,86,956,11.6
2025 Q2,119,736,72,927,12.8
2025 Q3,115,835,118,1068,10.8
2025 Q4,122,805,77,1004,12.2
2026 Q1,125,839,92,1056,11.8
2026 Q2,107,750,60,917,11.7
