District,Filing Quarter,Felony,Misdemeanor,Petty Offense/Infraction
09,2018 Q3,178,1135,75
09,2019 Q2,216,905,75
09,2020 Q4,160,760,62
09,2026 Q1,125,839,92
09,2025 Q3,115,835,118
09,2021 Q3,130,1084,61
09,2023 Q1,126,624,73
09,2017 Q3,270,1472,66
09,2025 Q4,122,805,77
09,2021 Q2,180,830,35
09,2019 Q1,213,1030,74
09,2022 Q2,117,697,65
09,2018 Q1,266,1745,124
09,2019 Q4,205,1119,92
09,2021 Q1,196,839,32
09,2019 Q3,252,1099,79
09,2024 Q1,125,753,50
09,2018 Q2,213,971,70
09,2020 Q1,198,986,50
09,2023 Q4,102,650,57
09,2018 Q4,201,970,108
09,2020 Q3,171,888,71
09,2017 Q4,379,1679,80
09,2024 Q3,125,908,129
09,2024 Q2,142,706,83
09,2026 Q3,5,28,6
09,2017 Q1,213,1227,54
09,2022 Q3,112,666,62
09,2025 Q1,111,759,86
09,2023 Q2,131,745,80
09,2017 Q2,305,1513,68
09,2020 Q2,164,662,61
09,2023 Q3,137,703,94
09,2022 Q1,103,712,30
09,2024 Q4,134,758,85
09,2026 Q2,106,749,60
09,2025 Q2,119,736,72
09,2021 Q4,128,844,60
09,2022 Q4,131,681,69
