District,Filing Year,Felony,Misdemeanor,Petty Offense/Infraction
09,2017,1167,5891,268
09,2018,858,4821,377
09,2019,886,4153,320
09,2020,693,3296,244
09,2021,634,3597,188
09,2022,463,2756,226
09,2023,496,2722,304
09,2024,526,3125,347
09,2025,467,3135,353
