Filing Year,Felony,Misdemeanor,Petty Offense/Infraction
2017,1167,5891,268
2018,858,4821,377
2019,886,4153,320
2020,693,3296,244
2021,634,3597,188
2022,463,2756,226
2023,496,2722,304
2024,526,3125,347
2025,467,3135,353
