District,Metric,Felony,Misdemeanor
09,Filings 2025,467.0,3135.0
09,Change since 2024,-11.2167,0.32
09,,,
09,Filings Quarter 4 2025,122.0,805.0
09,Change since Quarter 4 2024,-8.9552,6.2005
