Disposition Quarter,Average number of hearings per case
2017 Q1,8.3044
2017 Q2,7.7899
2017 Q3,8.4212
2017 Q4,7.992
2018 Q1,8.6529
2018 Q2,8.731
2018 Q3,8.6151
2018 Q4,8.8447
2019 Q1,8.9697
2019 Q2,8.9087
2019 Q3,8.6989
2019 Q4,8.7721
2020 Q1,9.1061
2020 Q2,9.7265
2020 Q3,10.3636
2020 Q4,10.2152
2021 Q1,10.4583
2021 Q2,11.0346
2021 Q3,10.3291
2021 Q4,10.4956
2022 Q1,10.4337
2022 Q2,10.707
2022 Q3,10.5166
2022 Q4,10.6378
2023 Q1,10.1564
2023 Q2,10.5216
2023 Q3,10.174
2023 Q4,10.3732
2024 Q1,10.7024
2024 Q2,10.7027
2024 Q3,10.6297
2024 Q4,10.202
2025 Q1,10.2658
2025 Q2,10.2988
2025 Q3,9.7995
2025 Q4,10.1764
2026 Q1,10.136
2026 Q2,10.1058
