District,Disposition Quarter,Average number of hearings per case
18,2017 Q1,8.3044
18,2017 Q2,7.7899
18,2017 Q3,8.4212
18,2017 Q4,7.992
18,2018 Q1,8.6529
18,2018 Q2,8.731
18,2018 Q3,8.6151
18,2018 Q4,8.8447
18,2019 Q1,8.9697
18,2019 Q2,8.9087
18,2019 Q3,8.6989
18,2019 Q4,8.7721
18,2020 Q1,9.1061
18,2020 Q2,9.7265
18,2020 Q3,10.3636
18,2020 Q4,10.2152
18,2021 Q1,10.4583
18,2021 Q2,11.0346
18,2021 Q3,10.3291
18,2021 Q4,10.4956
18,2022 Q1,10.4337
18,2022 Q2,10.707
18,2022 Q3,10.5166
18,2022 Q4,10.6378
18,2023 Q1,10.1551
18,2023 Q2,10.5216
18,2023 Q3,10.174
18,2023 Q4,10.3732
18,2024 Q1,10.7024
18,2024 Q2,10.7027
18,2024 Q3,10.6297
18,2024 Q4,10.202
18,2025 Q1,10.2658
18,2025 Q2,10.2988
18,2025 Q3,9.7995
18,2025 Q4,10.1764
18,2026 Q1,10.136
18,2026 Q2,10.1298
