Disposition Quarter,Average number of days to felony resolution,Median number of days to felony resolution
2017 Q1,258.9456,222.0
2017 Q2,231.9584,175.5
2017 Q3,243.6186,199.0
2017 Q4,243.9783,195.0
2018 Q1,251.6363,207.0
2018 Q2,272.476,226.0
2018 Q3,242.7794,197.0
2018 Q4,256.4065,203.0
2019 Q1,264.6886,218.5
2019 Q2,257.0083,211.0
2019 Q3,254.1435,202.0
2019 Q4,256.2182,206.0
2020 Q1,262.7252,214.0
2020 Q2,305.9717,260.0
2020 Q3,325.357,284.0
2020 Q4,323.6217,294.0
2021 Q1,330.0463,294.0
2021 Q2,332.1007,283.0
2021 Q3,341.016,304.0
2021 Q4,364.8372,306.0
2022 Q1,356.1844,292.5
2022 Q2,367.0841,302.0
2022 Q3,364.5013,282.0
2022 Q4,377.9268,289.5
2023 Q1,339.7237,270.0
2023 Q2,325.6274,263.0
2023 Q3,323.5543,260.5
2023 Q4,312.8794,253.0
2024 Q1,308.417,242.0
2024 Q2,320.6405,269.5
2024 Q3,308.7731,249.5
2024 Q4,302.9907,237.0
2025 Q1,312.0929,250.0
2025 Q2,306.5568,244.0
2025 Q3,298.9227,241.0
2025 Q4,303.3186,240.0
2026 Q1,303.867,252.0
2026 Q2,286.859,231.5
