Disposition Year,Dismissed,Plea Dismissal,Deferred,Acquitted,Plead/Found Guilty
2019,3475,568,431,29,9162
2020,2108,398,351,18,6561
2021,2838,719,497,27,6986
2022,2526,840,527,18,6752
2023,3667,956,529,32,6680
2024,4162,871,600,17,6598
2025,6320,1250,602,25,7205
