Metric,Felony,Misdemeanor
Cases Resolved 2025,3217.0,15401.0
Change since 2024,5.82236842,25.74297845
,,
Cases Resolved Quarter 4 2025,785.0,3731.0
Change since Quarter 4 2024,11.03253182,13.33535844
