District,Metric,Felony,Misdemeanor
18,Cases Resolved 2025,3203.0,15399.0
18,Change since 2024,5.46592032,25.72664925
18,,,
18,Cases Resolved Quarter 4 2025,775.0,3730.0
18,Change since Quarter 4 2024,9.61810467,13.30498177
