Filing Year,Felony,Misdemeanor,Petty Offense/Infraction
2017,374,1470,79
2018,401,1565,89
2019,382,1475,76
2020,327,1403,62
2021,354,1484,101
2022,288,1306,77
2023,330,1270,90
2024,261,1287,72
2025,222,1340,114
