District,Filing Quarter,Number of violent cases filed per quarter
22,2018 Q3,23
22,2019 Q2,14
22,2020 Q4,20
22,2026 Q1,17
22,2025 Q3,24
22,2021 Q3,17
22,2023 Q1,15
22,2017 Q3,15
22,2025 Q4,17
22,2021 Q2,25
22,2019 Q1,18
22,2022 Q2,14
22,2018 Q1,17
22,2019 Q4,20
22,2021 Q1,25
22,2019 Q3,26
22,2024 Q1,23
22,2018 Q2,7
22,2020 Q1,23
22,2023 Q4,35
22,2018 Q4,22
22,2020 Q3,21
22,2017 Q4,7
22,2024 Q3,20
22,2024 Q2,19
22,2026 Q3,0
22,2017 Q1,14
22,2022 Q3,16
22,2025 Q1,19
22,2023 Q2,19
22,2017 Q2,14
22,2020 Q2,18
22,2023 Q3,21
22,2022 Q1,19
22,2024 Q4,11
22,2026 Q2,11
22,2025 Q2,15
22,2021 Q4,6
22,2022 Q4,8
