District,Filing Quarter,Felony,Misdemeanor,Petty/Offense,Total,Percent of filed cases with a felony top charge
22,2017 Q1,93,441,26,560,16.60714286
22,2017 Q2,85,358,26,469,18.12366738
22,2017 Q3,106,357,13,476,22.26890756
22,2017 Q4,90,314,14,418,21.53110048
22,2018 Q1,89,354,28,471,18.89596603
22,2018 Q2,78,406,12,496,15.72580645
22,2018 Q3,113,396,20,529,21.3610586
22,2018 Q4,121,409,29,559,21.64579606
22,2019 Q1,101,385,26,512,19.7265625
22,2019 Q2,97,337,8,442,21.94570136
22,2019 Q3,105,393,25,523,20.07648184
22,2019 Q4,79,360,17,456,17.3245614
22,2020 Q1,83,390,9,482,17.21991701
22,2020 Q2,71,271,13,355,20.0
22,2020 Q3,105,392,20,517,20.30947776
22,2020 Q4,68,350,20,438,15.52511416
22,2021 Q1,84,339,24,447,18.79194631
22,2021 Q2,106,416,34,556,19.0647482
22,2021 Q3,92,395,16,503,18.29025845
22,2021 Q4,72,334,27,433,16.62817552
22,2022 Q1,103,357,20,480,21.45833333
22,2022 Q2,64,338,23,425,15.05882353
22,2022 Q3,64,323,20,407,15.72481572
22,2022 Q4,57,288,14,359,15.87743733
22,2023 Q1,64,285,21,370,17.2972973
22,2023 Q2,82,349,19,450,18.22222222
22,2023 Q3,98,337,28,463,21.1663067
22,2023 Q4,86,299,22,407,21.13022113
22,2024 Q1,74,308,14,396,18.68686869
22,2024 Q2,71,320,15,406,17.48768473
22,2024 Q3,74,358,21,453,16.33554084
22,2024 Q4,42,301,22,365,11.50684932
22,2025 Q1,58,338,16,412,14.0776699
22,2025 Q2,52,349,30,431,12.0649652
22,2025 Q3,55,369,43,467,11.77730193
22,2025 Q4,57,284,25,366,15.57377049
22,2026 Q1,43,358,33,434,9.9078341
22,2026 Q2,45,326,20,391,11.50895141
22,2026 Q3,0,14,2,16,0.0
