Filing Quarter,Felony,Misdemeanor,Petty/Offense,Total,Percent of filed cases with a felony top charge
2017 Q1,93,441,26,560,16.6
2017 Q2,85,358,26,469,18.1
2017 Q3,106,357,13,476,22.3
2017 Q4,90,314,14,418,21.5
2018 Q1,89,354,28,471,18.9
2018 Q2,78,406,12,496,15.7
2018 Q3,113,396,20,529,21.4
2018 Q4,121,409,29,559,21.6
2019 Q1,101,385,26,512,19.7
2019 Q2,97,337,8,442,21.9
2019 Q3,105,393,25,523,20.1
2019 Q4,79,360,17,456,17.3
2020 Q1,83,390,9,482,17.2
2020 Q2,71,271,13,355,20.0
2020 Q3,105,392,20,517,20.3
2020 Q4,68,350,20,438,15.5
2021 Q1,84,339,24,447,18.8
2021 Q2,106,416,34,556,19.1
2021 Q3,92,395,16,503,18.3
2021 Q4,72,334,27,433,16.6
2022 Q1,103,357,20,480,21.5
2022 Q2,64,338,23,425,15.1
2022 Q3,64,323,20,407,15.7
2022 Q4,57,288,14,359,15.9
2023 Q1,64,285,21,370,17.3
2023 Q2,82,349,19,450,18.2
2023 Q3,98,337,28,463,21.2
2023 Q4,86,299,22,407,21.1
2024 Q1,74,308,14,396,18.7
2024 Q2,71,320,15,406,17.5
2024 Q3,74,358,21,453,16.3
2024 Q4,42,301,22,365,11.5
2025 Q1,58,338,16,412,14.1
2025 Q2,52,349,30,431,12.1
2025 Q3,55,369,43,467,11.8
2025 Q4,57,284,25,366,15.6
2026 Q1,43,358,33,434,9.9
2026 Q2,45,326,20,391,11.5
