Filing Year,Person,Sex Offense,Weapons,Property,Drugs,DUI,Other,Traffic
2020,525,22,20,207,89,162,154,613
2021,576,27,23,237,72,199,178,627
2022,573,12,28,204,59,195,115,485
2023,635,13,29,223,66,150,144,430
2024,654,15,11,187,47,174,111,421
2025,660,16,18,179,68,150,127,458
