District,Filing Quarter,Felony,Misdemeanor,Petty Offense/Infraction
22,2017 Q1,93,441,26
22,2017 Q2,85,358,26
22,2017 Q3,106,357,13
22,2017 Q4,90,314,14
22,2018 Q1,89,354,28
22,2018 Q2,78,406,12
22,2018 Q3,113,396,20
22,2018 Q4,121,409,29
22,2019 Q1,101,385,26
22,2019 Q2,97,337,8
22,2019 Q3,105,393,25
22,2019 Q4,79,360,17
22,2020 Q1,83,390,9
22,2020 Q2,71,271,13
22,2020 Q3,105,392,20
22,2020 Q4,68,350,20
22,2021 Q1,84,339,24
22,2021 Q2,106,416,34
22,2021 Q3,92,395,16
22,2021 Q4,72,334,27
22,2022 Q1,103,357,20
22,2022 Q2,64,338,23
22,2022 Q3,64,323,20
22,2022 Q4,57,288,14
22,2023 Q1,64,285,21
22,2023 Q2,82,349,19
22,2023 Q3,98,337,28
22,2023 Q4,86,299,22
22,2024 Q1,74,308,14
22,2024 Q2,71,320,15
22,2024 Q3,74,358,21
22,2024 Q4,42,301,22
22,2025 Q1,58,338,16
22,2025 Q2,52,349,30
22,2025 Q3,55,369,43
22,2025 Q4,57,284,25
22,2026 Q1,43,358,33
22,2026 Q2,45,326,20
22,2026 Q3,0,14,2
