Disposition Year,Non-White Victim Cases Dismissed,Non-White Victim Cases Not Dismissed,Non-White Victim Total Cases,White Victim Cases Dismissed,White Victim Cases Not Dismissed,White Victim Cases Total,Percent of cases dismissed involving non-white victims,Percent of cases dismissed involving white victims
2020,87,488,575,150,650,800,15.1,18.8
2021,135,702,837,156,601,757,16.1,20.6
2022,133,811,944,140,703,843,14.1,16.6
2023,134,801,935,149,746,895,14.3,16.6
2024,179,714,893,164,641,805,20.0,20.4
2025,190,681,871,216,583,799,21.8,27.0
