Disposition Year,Conviction,No Conviction,Total
2017,30,8,38
2018,11,4,15
2019,20,14,34
2020,14,4,18
2021,17,7,24
2022,22,8,30
2023,19,12,31
2024,8,7,15
2025,6,9,15
