Disposition Year,Highest Income Neighborhood Cases Dismissed,Highest Income Neighborhood Cases Not Dismissed,Highest Income Neighborhood Total Cases Disposed,Lowest Income Neighborhood Cases Dismissed,Lowest Income Neighborhood Cases Not Dismissed,Lowest Income Neighborhood Total Cases Disposed,Percent of cases in highest income zip codes dismissed,Percent of cases in lowest income zip codes dismissed
2020,68,260,328,17,79,96,20.73170732,17.70833333
2021,93,293,386,23,88,111,24.09326425,20.72072072
2022,82,374,456,25,89,114,17.98245614,21.92982456
2023,87,439,526,21,110,131,16.53992395,16.03053435
2024,95,364,459,28,64,92,20.69716776,30.43478261
2025,144,287,431,32,83,115,33.41067285,27.82608696
