Filing Year,White Victim,NonWhite Victim,Total,Percent involving a white victim,Percent involving a non-white victim
2020,54,91,150,36.0,60.7
2021,45,110,160,28.1,68.8
2022,34,93,130,26.2,71.5
2023,52,87,141,36.9,61.7
2024,44,85,131,33.6,64.9
2025,39,94,135,28.9,69.6
