Filing Year,Male,Female,Unknown/Missing
2017,657,600,1240
2018,780,768,1125
2019,719,818,1027
2020,707,773,754
2021,800,857,912
2022,935,983,827
2023,955,1049,679
2024,1055,1019,785
2025,1027,907,757
