District,Filing Year,White,Black,Hispanic,Native American,Asian,Another Race/Ethnicity,Unknown/Missing
05,2017,641,23,2,1,3,1119,708
05,2018,923,19,73,2,11,912,732
05,2019,900,16,52,1,5,983,606
05,2020,756,26,83,0,8,875,486
05,2021,764,22,208,2,14,1188,370
05,2022,906,20,283,1,7,1095,430
05,2023,907,36,367,0,3,1040,330
05,2024,981,24,313,0,8,1130,402
05,2025,899,33,262,0,16,1053,412
