District,Filing Quarter,Missing,Highest income zip code cases filed,Lowest income zip code cases filed,Middle income quintile cases filed,Total Cases Filed,Percent of violent crimes occuring in highest income zip codes,Percent of violent crimes occuring in lowest income zip codes
05,2017,11,76,27,7,132,57.57575758,20.45454545
05,2018,9,84,21,6,133,63.15789474,15.78947368
05,2019,15,66,13,11,116,56.89655172,11.20689655
05,2020,20,72,27,9,145,49.65517241,18.62068966
05,2021,29,74,27,9,155,47.74193548,17.41935484
05,2022,24,71,11,11,127,55.90551181,8.66141732
05,2023,22,68,25,12,138,49.27536232,18.11594203
05,2024,31,67,12,6,127,52.75590551,9.4488189
05,2025,44,58,16,2,130,44.61538462,12.30769231
05,2026,14,24,5,7,55,43.63636364,9.09090909
