District,Filing Quarter,Number of violent cases filed involving a child victim
05,2017 Q1,7
05,2017 Q2,10
05,2017 Q3,7
05,2017 Q4,11
05,2018 Q1,3
05,2018 Q2,3
05,2018 Q3,9
05,2018 Q4,9
05,2019 Q1,6
05,2019 Q2,7
05,2019 Q3,8
05,2019 Q4,5
05,2020 Q1,8
05,2020 Q2,6
05,2020 Q3,9
05,2020 Q4,2
05,2021 Q1,8
05,2021 Q2,8
05,2021 Q3,12
05,2021 Q4,7
05,2022 Q1,4
05,2022 Q2,9
05,2022 Q3,6
05,2022 Q4,4
05,2023 Q1,6
05,2023 Q2,5
05,2023 Q3,5
05,2023 Q4,4
05,2024 Q1,4
05,2024 Q2,6
05,2024 Q3,3
05,2024 Q4,8
05,2025 Q1,6
05,2025 Q2,8
05,2025 Q3,7
05,2025 Q4,8
05,2026 Q1,3
05,2026 Q2,5
