Filing Quarter,Missing,Highest income zip code cases filed,Lowest income zip code cases filed,Middle income quintile cases filed,Total Cases Filed,Percent of violent crimes occuring in highest income zip codes,Percent of violent crimes occuring in lowest income zip codes
2017 Q1,4,17,7,2,32,53.1,21.9
2017 Q2,2,13,5,1,23,56.5,21.7
2017 Q3,4,22,7,2,39,56.4,17.9
2017 Q4,1,24,8,2,38,63.2,21.1
2018 Q1,4,18,4,2,32,56.2,12.5
2018 Q2,1,19,4,0,28,67.9,14.3
2018 Q3,0,24,5,1,34,70.6,14.7
2018 Q4,4,23,8,3,39,59.0,20.5
2019 Q1,3,15,3,3,25,60.0,12.0
2019 Q2,3,20,2,1,28,71.4,7.1
2019 Q3,4,15,4,5,32,46.9,12.5
2019 Q4,5,16,4,2,31,51.6,12.9
2020 Q1,8,25,4,4,47,53.2,8.5
2020 Q2,4,17,6,2,32,53.1,18.8
2020 Q3,4,19,7,3,40,47.5,17.5
2020 Q4,4,11,10,0,26,42.3,38.5
2021 Q1,5,25,2,3,40,62.5,5.0
2021 Q2,6,8,9,2,28,28.6,32.1
2021 Q3,9,25,12,4,54,46.3,22.2
2021 Q4,9,16,4,0,33,48.5,12.1
2022 Q1,6,21,2,1,32,65.6,6.2
2022 Q2,10,18,3,3,37,48.6,8.1
2022 Q3,4,16,3,3,27,59.3,11.1
2022 Q4,4,16,3,4,31,51.6,9.7
2023 Q1,5,23,6,2,40,57.5,15.0
2023 Q2,5,19,9,2,38,50.0,23.7
2023 Q3,5,11,4,2,25,44.0,16.0
2023 Q4,7,15,6,6,35,42.9,17.1
2024 Q1,7,18,0,2,29,62.1,0.0
2024 Q2,10,16,2,0,28,57.1,7.1
2024 Q3,7,17,5,2,33,51.5,15.2
2024 Q4,7,16,5,2,37,43.2,13.5
2025 Q1,9,17,2,2,33,51.5,6.1
2025 Q2,10,9,4,0,26,34.6,15.4
2025 Q3,12,15,7,0,35,42.9,20.0
2025 Q4,13,18,3,0,37,48.6,8.1
2026 Q1,6,14,1,3,25,56.0,4.0
2026 Q2,8,9,4,4,29,31.0,13.8
