District,Disposition Year,Non-White Victim Cases Dismissed,Non-White Victim Cases Not Dismissed,Non-White Victim Total Cases,White Victim Cases Dismissed,White Victim Cases Not Dismissed,White Victim Cases Total,Percent of cases dismissed involving non-white victims,Percent of cases dismissed involving white victims
05,2020,87,488,575,150,650,800,15.13043478,18.75
05,2021,135,702,837,156,601,757,16.12903226,20.60766182
05,2022,133,811,944,140,703,843,14.08898305,16.60735469
05,2023,134,801,935,149,746,895,14.3315508,16.64804469
05,2024,179,714,893,164,641,805,20.04479283,20.37267081
05,2025,190,681,871,216,583,799,21.81400689,27.03379224
