Referral Year,Felony Referrals Filed,Felony Referrals Not Filed,Total Felony Referrals,Felony Cases Acquitted,Felony Cases Deferred,Felony Cases Dismissed,Felony Cases Found Guilty,Felony Cases Plea Dismissal,Felony Cases Plead Guilty,Total Felony Cases Disposed,Percent of felony referrals declined,Percent of felony cases dismissed after filing
2017,5211,158,5369,29,394,275,85,179,3889,4851,2.94281989,5.66893424
2018,5262,280,5542,22,431,298,64,160,4113,5088,5.05232768,5.85691824
2019,5463,395,5858,37,470,330,75,163,4065,5140,6.74291567,6.42023346
2020,4488,451,4939,10,393,366,41,193,2544,3547,9.13140312,10.31857908
2021,4362,680,5042,24,401,458,45,189,3005,4122,13.48671162,11.11111111
2022,4053,546,4599,18,452,438,56,203,3135,4302,11.87214612,10.18131102
2023,4218,477,4695,9,412,447,58,184,3227,4337,10.15974441,10.30666359
2024,4158,699,4857,19,461,469,62,145,3040,4196,14.39159975,11.17731173
2025,3565,820,4385,28,423,458,77,163,2688,3837,18.70011403,11.93640865
