Quarter,Felony Filed,Misdemeanor Filed,Petty Offense/Infraction Filed,Total Felony Referrals,Percent of felony referrals charged as misdemeanors,Felony Charge Reduced to Misdemeanor,Felony Charge Not Reduced to Misdemeanor,Total Felony Charges Disposed,Percent of felony filings disposed as misdemeanors
2017 Q1,1151,21,0,1172,1.8,528,475,1003,52.6
2017 Q2,1222,36,0,1258,2.9,529,460,989,53.5
2017 Q3,1342,38,1,1381,2.8,519,434,953,54.5
2017 Q4,1375,25,0,1400,1.8,553,470,1023,54.1
2018 Q1,1240,25,1,1266,2.0,529,471,1000,52.9
2018 Q2,1312,41,0,1353,3.0,597,520,1117,53.4
2018 Q3,1378,48,1,1427,3.4,541,486,1027,52.7
2018 Q4,1189,26,1,1216,2.1,567,461,1028,55.2
2019 Q1,1241,29,2,1272,2.3,562,493,1055,53.3
2019 Q2,1373,39,1,1413,2.8,594,488,1082,54.9
2019 Q3,1319,33,1,1353,2.4,551,428,979,56.3
2019 Q4,1392,32,1,1425,2.2,553,467,1020,54.2
2020 Q1,1232,31,1,1264,2.5,499,399,898,55.6
2020 Q2,1005,33,0,1038,3.2,190,202,392,48.5
2020 Q3,1083,70,0,1153,6.1,330,304,634,52.1
2020 Q4,995,38,0,1033,3.7,348,312,660,52.7
2021 Q1,932,36,0,968,3.7,343,347,690,49.7
2021 Q2,1045,57,2,1104,5.2,393,344,737,53.3
2021 Q3,1117,56,0,1173,4.8,447,359,806,55.5
2021 Q4,1057,60,0,1117,5.4,430,391,821,52.4
2022 Q1,944,62,0,1006,6.2,429,379,808,53.1
2022 Q2,906,67,2,975,6.9,418,457,875,47.8
2022 Q3,1003,59,1,1063,5.6,363,394,757,48.0
2022 Q4,974,33,1,1008,3.3,324,427,751,43.1
2023 Q1,1078,40,4,1122,3.6,387,477,864,44.8
2023 Q2,953,49,2,1004,4.9,393,498,891,44.1
2023 Q3,1030,49,0,1079,4.5,344,441,785,43.8
2023 Q4,974,38,1,1013,3.8,342,402,744,46.0
2024 Q1,977,47,1,1025,4.6,356,431,787,45.2
2024 Q2,1052,54,1,1107,4.9,346,456,802,43.1
2024 Q3,991,47,2,1040,4.5,344,455,799,43.1
2024 Q4,942,44,0,986,4.5,312,394,706,44.2
2025 Q1,871,60,0,932,6.4,335,406,741,45.2
2025 Q2,835,52,5,893,5.8,329,394,723,45.5
2025 Q3,856,78,0,934,8.4,292,406,698,41.8
2025 Q4,735,71,0,806,8.8,272,322,594,45.8
2026 Q1,776,84,0,861,9.8,314,347,661,47.5
2026 Q2,751,71,3,826,8.6,253,390,643,39.3
