Referral Year,Filed,Declined,Total Felony Referrals,Percent Declined
2017,5211,158,5369,2.9
2018,5262,280,5542,5.1
2019,5463,395,5858,6.7
2020,4488,451,4939,9.1
2021,4362,680,5042,13.5
2022,4053,546,4599,11.9
2023,4218,477,4695,10.2
2024,4158,700,4858,14.4
2025,3565,830,4395,18.9
