Referral Year,Filed,Declined,Total Felony Referrals,Percent Declined
2020,4488,451,4939,9.13140312
2021,4362,680,5042,13.48671162
2022,4053,546,4599,11.87214612
2023,4218,477,4695,10.15974441
2024,4158,699,4857,14.39159975
2025,3565,820,4385,18.70011403
