Referral Year,Filed,Declined,Total Felony Referrals,Percent Declined
2020,4488,451,4939,9.1
2021,4362,680,5042,13.5
2022,4053,546,4599,11.9
2023,4218,477,4695,10.2
2024,4158,699,4857,14.4
2025,3565,820,4385,18.7
