Referral Year,Black Felony Referrals Filed,Black Felony Referrals Not Filed,Black Total Felony Referrals,Hispanic Felony Referrals Filed,Hispanic Felony Referrals Not Filed,Hispanic Total Felony Referrals,Native American Felony Referrals Filed,Native American Felony Referrals Not Filed,Native American Total Felony Referrals,White Felony Referrals Filed,White Felony Referrals Not Filed,White Total Felony Referrals,Percent of cases involving Black defendants declined,Percent of cases involving Hispanic defendants declined,Percent of cases involving Native American defendants declined,Percent of cases involving White defendants declined
2020,449,46,495,1447,140,1587,14,0,14,2493,250,2743,9.3,8.8,0.0,9.1
2021,469,81,550,1549,233,1782,16,2,18,2224,344,2568,14.7,13.1,11.1,13.4
2022,462,62,524,1404,195,1599,11,0,11,2102,272,2374,11.8,12.2,0.0,11.5
2023,477,53,530,1484,174,1658,17,5,22,2159,233,2392,10.0,10.5,22.7,9.7
2024,452,81,533,1583,261,1844,18,2,20,2013,335,2348,15.2,14.2,10.0,14.3
2025,454,105,559,1369,314,1683,7,2,9,1670,394,2064,18.8,18.7,22.2,19.1
