Referral Year,Filed,Declined,Total Felony Referrals,Percent Declined
2017,5211,34,5245,0.6
2018,5262,91,5353,1.7
2019,5463,148,5611,2.6
2020,4488,138,4626,3.0
2021,4362,189,4551,4.2
2022,4052,225,4277,5.3
2023,4218,155,4373,3.5
2024,4158,145,4303,3.4
2025,3565,212,3777,5.6
