Referral Year,Felony Referrals Filed,Felony Referrals Not Filed,Total Felony Referrals,Felony Cases Acquitted,Felony Cases Deferred,Felony Cases Dismissed,Felony Cases Found Guilty,Felony Cases Plea Dismissal,Felony Cases Plead Guilty,Total Felony Cases Disposed,Percent of felony referrals declined,Percent of felony cases dismissed after filing
2017,5211,34,5245,29,394,275,85,179,3889,4851,0.6,5.7
2018,5262,91,5353,22,431,298,64,160,4113,5088,1.7,5.9
2019,5463,148,5611,37,470,330,74,163,4065,5139,2.6,6.4
2020,4488,138,4626,10,393,365,41,194,2545,3548,3.0,10.3
2021,4362,189,4551,25,401,461,45,194,3011,4137,4.2,11.1
2022,4052,225,4277,18,453,440,55,206,3141,4313,5.3,10.2
2023,4218,155,4373,9,412,448,58,186,3234,4347,3.5,10.3
2024,4158,145,4303,19,466,469,62,145,3044,4205,3.4,11.2
2025,3565,212,3777,28,423,458,77,163,2691,3840,5.6,11.9
