District,Quarter,Felony Filed,Misdemeanor Filed,Petty Offense/Infraction Filed,Total Felony Referrals,Percent of felony referrals charged as misdemeanors,Felony Charge Reduced to Misdemeanor,Felony Charge Not Reduced to Misdemeanor,Total Felony Charges Disposed,Percent of felony filings disposed as misdemeanors
17,2026 Q1,776,84,0,861,9.75609756,313,352,665,47.06766917
17,2025 Q3,856,78,0,934,8.35117773,292,404,696,41.95402299
17,2021 Q3,1117,56,0,1173,4.77408355,446,359,805,55.40372671
17,2023 Q1,1078,40,4,1122,3.56506239,387,476,863,44.84356895
17,2019 Q1,1241,29,2,1272,2.27987421,562,494,1056,53.21969697
17,2022 Q2,906,67,2,975,6.87179487,418,455,873,47.88087056
17,2018 Q3,1378,48,1,1427,3.36370007,541,486,1027,52.67770204
17,2019 Q2,1373,39,1,1413,2.76008493,594,488,1082,54.89833641
17,2020 Q4,995,38,0,1033,3.678606,348,311,659,52.80728376
17,2017 Q3,1342,38,1,1381,2.75162925,519,434,953,54.45960126
17,2025 Q4,735,71,0,806,8.808933,271,322,593,45.69983137
17,2021 Q2,1045,57,2,1104,5.16304348,392,344,736,53.26086957
17,2018 Q1,1240,25,1,1266,1.97472354,529,471,1000,52.9
17,2019 Q4,1392,32,1,1425,2.24561404,553,467,1020,54.21568627
17,2021 Q1,932,36,0,968,3.71900826,343,347,690,49.71014493
17,2019 Q3,1319,33,1,1353,2.43902439,551,428,979,56.28192033
17,2018 Q2,1312,41,0,1353,3.03030303,597,520,1117,53.44673232
17,2020 Q3,1083,70,0,1153,6.07111882,330,304,634,52.05047319
17,2024 Q1,977,47,1,1025,4.58536585,357,431,788,45.30456853
17,2020 Q1,1232,31,1,1264,2.45253165,499,399,898,55.56792873
17,2023 Q4,974,38,1,1013,3.75123396,342,401,743,46.02960969
17,2018 Q4,1189,26,1,1216,2.13815789,567,461,1028,55.15564202
17,2017 Q4,1375,25,0,1400,1.78571429,553,470,1023,54.05669599
17,2024 Q3,991,47,2,1040,4.51923077,343,456,799,42.92866083
17,2024 Q2,1052,54,1,1107,4.87804878,343,455,798,42.98245614
17,2025 Q1,871,60,0,932,6.43776824,334,406,740,45.13513514
17,2017 Q2,1222,36,0,1258,2.86168521,529,460,989,53.48837209
17,2026 Q3,27,5,0,32,15.625,7,3,10,70.0
17,2017 Q1,1151,21,0,1172,1.79180887,528,475,1003,52.64207378
17,2022 Q3,1003,59,1,1063,5.55032926,362,394,756,47.88359788
17,2023 Q2,953,49,2,1004,4.88047809,392,498,890,44.04494382
17,2020 Q2,1005,33,0,1038,3.17919075,190,202,392,48.46938776
17,2023 Q3,1030,49,0,1079,4.54124189,344,437,781,44.04609475
17,2022 Q1,944,62,0,1006,6.16302187,427,379,806,52.97766749
17,2024 Q4,942,44,0,986,4.46247465,312,394,706,44.19263456
17,2022 Q4,974,33,1,1008,3.27380952,324,427,751,43.1424767
17,2026 Q2,751,71,3,826,8.59564165,256,409,665,38.4962406
17,2021 Q4,1057,60,0,1117,5.37153089,426,391,817,52.14198286
17,2025 Q2,835,52,5,893,5.82306831,329,394,723,45.50484094
17,2061 Q1,0,0,0,0,,0,1,1,0.0
17,2029 Q2,0,0,0,0,,0,1,1,0.0
17,2026 Q4,0,0,0,0,,0,1,1,0.0
