Disposition Year,Dismissed,Plea Dismissal,Deferred,Acquitted,Found Guilty,Plead Guilty
2019,281,208,356,21,95,4081
2020,200,168,318,8,34,2579
2021,292,243,326,22,49,2817
2022,358,189,400,13,58,2675
2023,347,189,372,11,59,2441
2024,348,164,365,10,50,2243
2025,315,143,360,17,46,2103
