District,Disposition Quarter,Average number of hearings per case
01,2017 Q1,5.7963
01,2017 Q2,5.6586
01,2017 Q3,5.2968
01,2017 Q4,5.5365
01,2018 Q1,6.1896
01,2018 Q2,6.4198
01,2018 Q3,6.4605
01,2018 Q4,6.4011
01,2019 Q1,6.6397
01,2019 Q2,6.3223
01,2019 Q3,6.4967
01,2019 Q4,6.5852
01,2020 Q1,6.7944
01,2020 Q2,7.1617
01,2020 Q3,7.7158
01,2020 Q4,7.2677
01,2021 Q1,8.4832
01,2021 Q2,8.7524
01,2021 Q3,7.8094
01,2021 Q4,8.3108
01,2022 Q1,7.9251
01,2022 Q2,7.9145
01,2022 Q3,7.7091
01,2022 Q4,7.9594
01,2023 Q1,8.6247
01,2023 Q2,8.1324
01,2023 Q3,7.7334
01,2023 Q4,7.6523
01,2024 Q1,7.9298
01,2024 Q2,7.9461
01,2024 Q3,7.9427
01,2024 Q4,8.0553
01,2025 Q1,7.8871
01,2025 Q2,7.9197
01,2025 Q3,7.6537
01,2025 Q4,7.6375
01,2026 Q1,8.4425
01,2026 Q2,7.7617
