Disposition Quarter,Charge Reduction,No Charge Reduction,Total,Percent of felony filings disposed as misdemeanors
2017 Q1,333,536,869,38.3
2017 Q2,389,581,970,40.1
2017 Q3,409,495,904,45.2
2017 Q4,387,566,953,40.6
2018 Q1,382,592,974,39.2
2018 Q2,452,601,1053,42.9
2018 Q3,440,572,1012,43.5
2018 Q4,484,608,1092,44.3
2019 Q1,539,642,1181,45.6
2019 Q2,481,589,1070,45.0
2019 Q3,473,532,1005,47.1
2019 Q4,458,462,920,49.8
2020 Q1,454,451,905,50.2
2020 Q2,215,231,446,48.2
2020 Q3,318,337,655,48.5
2020 Q4,292,315,607,48.1
2021 Q1,313,393,706,44.3
2021 Q2,305,418,723,42.2
2021 Q3,373,387,760,49.1
2021 Q4,278,400,678,41.0
2022 Q1,288,389,677,42.5
2022 Q2,284,433,717,39.6
2022 Q3,295,396,691,42.7
2022 Q4,267,380,647,41.3
2023 Q1,292,390,682,42.8
2023 Q2,300,365,665,45.1
2023 Q3,276,320,596,46.3
2023 Q4,272,285,557,48.8
2024 Q1,259,315,574,45.1
2024 Q2,260,302,562,46.3
2024 Q3,261,324,585,44.6
2024 Q4,279,291,570,48.9
2025 Q1,306,335,641,47.7
2025 Q2,235,264,499,47.1
2025 Q3,263,264,527,49.9
2025 Q4,229,247,476,48.1
2026 Q1,235,305,540,43.5
2026 Q2,247,304,551,44.8
