District,Disposition Year,Native American Plea to Lesser Charge,Native American No Plea to Lesser Charge,Native American Total Guilty Pleas,Hispanic Plea to Lesser Charge,Hispanic No Plea to Lesser Charge,Hispanic Total Guilty Pleas,Black Plea to Lesser Charge,Black No Plea to Lesser Charge,Black Total Guilty Pleas,White Plea to Lesser Charge,White No Plea to Lesser Charge,White Total Guilty Pleas,Percent of Native American defendants pleading to a lesser charge,Percent of Hispanic defendants pleading to a lesser charge,Percent of Black defendants pleading to a lesser charge,Percent of White defendants pleading to a lesser charge
01,2020,9,7,16,307,365,672,99,102,201,838,838,1676,56.25,45.68452381,49.25373134,50.0
01,2021,7,6,13,319,397,716,113,147,260,809,1024,1833,53.84615385,44.55307263,43.46153846,44.13529733
01,2022,6,9,15,307,456,763,103,163,266,687,940,1627,40.0,40.23591088,38.72180451,42.2249539
01,2023,7,9,16,320,426,746,110,132,242,678,773,1451,43.75,42.89544236,45.45454545,46.72639559
01,2024,6,5,11,335,387,722,103,142,245,590,665,1255,54.54545455,46.39889197,42.04081633,47.01195219
01,2025,4,8,12,327,354,681,108,120,228,577,606,1183,33.33333333,48.01762115,47.36842105,48.77430262
