Disposition Quarter,Average number of hearings per case
2017 Q1,5.7963
2017 Q2,5.6586
2017 Q3,5.2968
2017 Q4,5.5365
2018 Q1,6.1896
2018 Q2,6.4198
2018 Q3,6.4605
2018 Q4,6.4011
2019 Q1,6.6397
2019 Q2,6.3223
2019 Q3,6.4967
2019 Q4,6.5852
2020 Q1,6.7944
2020 Q2,7.1617
2020 Q3,7.7158
2020 Q4,7.2677
2021 Q1,8.4832
2021 Q2,8.7524
2021 Q3,7.8094
2021 Q4,8.3108
2022 Q1,7.9251
2022 Q2,7.9145
2022 Q3,7.7091
2022 Q4,7.9594
2023 Q1,8.6247
2023 Q2,8.1324
2023 Q3,7.7334
2023 Q4,7.6523
2024 Q1,7.9298
2024 Q2,7.9461
2024 Q3,7.9427
2024 Q4,8.0553
2025 Q1,7.8904
2025 Q2,7.9197
2025 Q3,7.6537
2025 Q4,7.6338
2026 Q1,8.4425
2026 Q2,7.7378
