Disposition Year,Native American Plea to Lesser Charge,Native American No Plea to Lesser Charge,Native American Total Guilty Pleas,Hispanic Plea to Lesser Charge,Hispanic No Plea to Lesser Charge,Hispanic Total Guilty Pleas,Black Plea to Lesser Charge,Black No Plea to Lesser Charge,Black Total Guilty Pleas,White Plea to Lesser Charge,White No Plea to Lesser Charge,White Total Guilty Pleas,Percent of Native American defendants pleading to a lesser charge,Percent of Hispanic defendants pleading to a lesser charge,Percent of Black defendants pleading to a lesser charge,Percent of White defendants pleading to a lesser charge
2020,8,6,14,308,365,673,100,102,202,837,839,1676,57.1,45.8,49.5,49.9
2021,7,6,13,320,399,719,114,147,261,807,1023,1830,53.8,44.5,43.7,44.1
2022,5,10,15,310,463,773,103,163,266,685,933,1618,33.3,40.1,38.7,42.3
2023,7,10,17,321,425,746,110,132,242,677,773,1450,41.2,43.0,45.5,46.7
2024,6,5,11,335,387,722,104,144,248,589,663,1252,54.5,46.4,41.9,47.0
2025,3,8,11,327,356,683,108,120,228,579,603,1182,27.3,47.9,47.4,49.0
