Metric,Felony,Misdemeanor
Cases Resolved 2025,2983.0,14204.0
Change since 2024,-6.19496855,-11.9459426
,,
Cases Resolved Quarter 4 2025,654.0,3345.0
Change since Quarter 4 2024,-15.28497409,-19.16384727
