District,Disposition Year,Dismissed,Plea Dismissal,Deferred,Acquitted,Found Guilty,Plead Guilty
01,2020,200,168,318,8,34,2579
01,2021,292,243,326,22,49,2817
01,2022,358,189,400,13,58,2675
01,2023,347,186,372,11,59,2441
01,2024,348,164,365,10,50,2243
01,2025,315,144,359,14,46,2103
