District,Metric,Felony,Misdemeanor
01,Cases Resolved 2025,2981.0,14216.0
01,Change since 2024,-6.25786164,-11.87701463
01,,,
01,Cases Resolved Quarter 4 2025,653.0,3346.0
01,Change since Quarter 4 2024,-15.41450777,-19.1592172
