Disposition Year,Dismissed,Plea Dismissal,Deferred,Acquitted,Found Guilty,Plead Guilty,Plead/Found Guilty
2019,2633,515,757,79,163,11500,11663
2020,3101,500,614,34,87,6506,6593
2021,2716,998,735,57,128,9337,9465
2022,4472,1009,577,63,140,8223,8363
2023,4606,1319,589,51,123,6562,6685
2024,6394,1454,630,69,121,7463,7584
2025,5150,1277,603,53,115,7016,7131
