District,Disposition Quarter,Average number of days to felony resolution,Median number of days to felony resolution
01,2017 Q1,172.588,145.0
01,2017 Q2,174.5869,132.0
01,2017 Q3,159.795,122.0
01,2017 Q4,166.033,126.0
01,2018 Q1,167.7848,124.0
01,2018 Q2,167.6328,117.0
01,2018 Q3,158.0231,122.0
01,2018 Q4,157.3285,121.0
01,2019 Q1,170.6765,139.0
01,2019 Q2,160.8264,119.0
01,2019 Q3,168.9075,128.0
01,2019 Q4,168.5104,126.0
01,2020 Q1,172.9511,132.0
01,2020 Q2,201.0443,173.0
01,2020 Q3,216.7703,181.0
01,2020 Q4,214.7681,199.0
01,2021 Q1,244.9593,223.0
01,2021 Q2,253.8679,211.0
01,2021 Q3,226.9578,172.0
01,2021 Q4,256.9119,185.0
01,2022 Q1,238.8646,172.0
01,2022 Q2,243.0598,170.0
01,2022 Q3,228.1299,169.0
01,2022 Q4,240.8519,178.0
01,2023 Q1,254.7299,188.5
01,2023 Q2,234.2392,180.5
01,2023 Q3,218.4967,157.0
01,2023 Q4,220.0364,165.0
01,2024 Q1,221.4328,163.0
01,2024 Q2,212.5901,159.5
01,2024 Q3,220.8775,173.5
01,2024 Q4,235.4641,178.0
01,2025 Q1,225.2266,174.0
01,2025 Q2,219.1644,164.0
01,2025 Q3,210.3672,152.0
01,2025 Q4,194.0066,150.0
01,2026 Q1,239.3703,198.0
01,2026 Q2,221.7558,172.0
