Filing Quarter,Felonies filed per prosecutor,Felonies resolved per prosecutor
2017 Q1,22.7273,22.4444
2017 Q2,18.2727,21.4444
2017 Q3,17.3077,17.5
2017 Q4,13.3846,16.7273
2018 Q1,14.7,17.1
2018 Q2,15.1429,15.5
2018 Q3,16.6,16.5
2018 Q4,16.9286,16.9
2019 Q1,13.3571,17.5
2019 Q2,17.3636,17.3636
2019 Q3,14.7857,17.3636
2019 Q4,16.1818,17.1
2020 Q1,16.2857,21.0
2020 Q2,15.2,14.0
2020 Q3,15.3571,14.3077
2020 Q4,14.5455,11.7143
2021 Q1,17.3636,19.0
2021 Q2,17.9,19.7
2021 Q3,23.5556,17.2
2021 Q4,20.7778,21.2222
2022 Q1,23.2857,22.6667
2022 Q2,20.125,21.7778
2022 Q3,26.7143,32.5
2022 Q4,19.2857,29.4
2023 Q1,20.8571,23.8571
2023 Q2,18.4286,24.7143
2023 Q3,21.5,18.8571
2023 Q4,15.75,19.6667
2024 Q1,15.875,19.8571
2024 Q2,14.7,18.375
2024 Q3,15.3077,19.0
2024 Q4,18.5556,21.4286
2025 Q1,15.1,25.0
2025 Q2,17.4,15.7778
2025 Q3,17.1818,19.0
2025 Q4,16.375,15.2222
2026 Q1,18.5556,19.875
2026 Q2,17.7143,19.0
