District,Filing Quarter,Felonies filed per prosecutor,Felonies resolved per prosecutor
11,2017 Q1,22.7273,22.4444
11,2017 Q2,18.2727,21.4444
11,2017 Q3,17.3077,17.5
11,2017 Q4,13.3846,16.7273
11,2018 Q1,15.5556,17.1
11,2018 Q2,14.5333,16.3636
11,2018 Q3,16.7,16.5
11,2018 Q4,17.0,17.0
11,2019 Q1,13.3571,17.6667
11,2019 Q2,17.3636,17.3636
11,2019 Q3,14.9286,17.3636
11,2019 Q4,16.0909,17.2
11,2020 Q1,16.4286,21.125
11,2020 Q2,15.3333,14.0
11,2020 Q3,15.3571,14.5385
11,2020 Q4,14.5455,11.7143
11,2021 Q1,17.3636,19.0
11,2021 Q2,17.9,19.8
11,2021 Q3,23.7778,17.2
11,2021 Q4,22.625,21.2222
11,2022 Q1,26.6667,22.8889
11,2022 Q2,20.375,23.75
11,2022 Q3,27.0,32.6667
11,2022 Q4,19.2857,30.2
11,2023 Q1,21.0,24.0
11,2023 Q2,18.7143,24.8571
11,2023 Q3,21.75,19.0
11,2023 Q4,16.125,20.0
11,2024 Q1,17.4286,20.2857
11,2024 Q2,15.2,17.3333
11,2024 Q3,17.1818,17.5556
11,2024 Q4,20.375,24.5
11,2025 Q1,15.1,25.4
11,2025 Q2,17.6,15.6667
11,2025 Q3,17.0909,19.25
11,2025 Q4,16.625,17.0
11,2026 Q1,22.8571,19.875
11,2026 Q2,16.125,21.1667
