District,Disposition Year,Native American Incarceration,Native American No Incarceration,Native American Total,Hispanic Incarceration,Hispanic No Incarceration,Hispanic Total,White Incarceration,White No Incarceration,White Total,Percent of Native American defendants incarcerated,Percent of Hispanic defendants incarcerated,Percent of White defendants incarcerated
02,2020,9,4,13,296,216,512,447,371,818,69.23076923,57.8125,54.64547677
02,2021,10,0,10,353,258,611,542,449,991,100.0,57.77414075,54.69223007
02,2022,8,7,15,440,325,765,665,472,1137,53.33333333,57.51633987,58.48724714
02,2023,7,9,16,443,333,776,611,451,1062,43.75,57.08762887,57.53295669
02,2024,4,1,5,460,404,864,497,432,929,80.0,53.24074074,53.49838536
02,2025,5,8,13,458,387,845,447,444,891,38.46153846,54.20118343,50.16835017
