District,Disposition Year,Black No Pretrial,Black Pretrial,Black Total Cases,Hispanic No Pretrial,Hispanic Pretrial,Hispanic Total Cases,White No Pretrial,White Pretrial,White Total Cases,Percent of Black defendants detained pretrial,Percent of Hispanic defendants detained pretrial,Percent of White defendants detained pretrial
02,2020,1135,78,1213,1277,91,1368,2353,159,2512,6.430338,6.65204678,6.32961783
02,2021,1273,289,1562,1460,274,1734,2498,394,2892,18.50192061,15.80161476,13.62378976
02,2022,1014,462,1476,1054,519,1573,1930,787,2717,31.30081301,32.99427845,28.96577107
02,2023,1022,440,1462,1180,442,1622,1991,706,2697,30.09575923,27.25030826,26.17723396
02,2024,1171,418,1589,1380,512,1892,2045,585,2630,26.30585274,27.06131078,22.24334601
02,2025,1172,437,1609,1331,542,1873,2246,554,2800,27.15972654,28.93753337,19.78571429
