Disposition Year,Black Incarceration,Black No Incarceration,Black Total,Native American Incarceration,Native American No Incarceration,Native American Total,Hispanic Incarceration,Hispanic No Incarceration,Hispanic Total,White Incarceration,White No Incarceration,White Total,Percent of Black defendants incarcerated,Percent of Native American defendants incarcerated,Percent of Hispanic defendants incarcerated,Percent of White defendants incarcerated
2022,374,345,719,8,7,15,445,321,766,665,476,1141,52.0,53.3,58.1,58.3
2023,375,370,745,7,9,16,443,334,777,614,450,1064,50.3,43.8,57.0,57.7
2024,375,395,770,4,1,5,464,404,868,494,430,924,48.7,80.0,53.5,53.5
2025,362,355,717,6,5,11,464,398,862,461,444,905,50.5,54.5,53.8,50.9
