Disposition Year,Black No Pretrial,Black Pretrial,Black Total Cases,Hispanic No Pretrial,Hispanic Pretrial,Hispanic Total Cases,Native American No Pretrial,Native American Pretrial,Native American Total Cases,White No Pretrial,White Pretrial,White Total Cases,Percent of Black defendants detained pretrial,Percent of Hispanic defendants detained pretrial,Percent of Native American defendants detained pretrial,Percent of White defendants detained pretrial
2022,1015,462,1477,1051,524,1575,35,9,44,1931,790,2721,31.3,33.3,20.5,29.0
2023,1022,439,1461,1182,443,1625,35,9,44,1992,706,2698,30.0,27.3,20.5,26.2
2024,1172,420,1592,1382,513,1895,31,5,36,2044,586,2630,26.4,27.1,13.9,22.3
2025,1180,451,1631,1352,555,1907,30,11,41,2244,572,2816,27.7,29.1,26.8,20.3
