Disposition Quarter,Drugs,DUI,Other,Person,Property,Sex Offense,Traffic,Weapons,Total,"Percent involving person, sex, or weapons offenses",Percent involving DUI,Percent involving other offenses
2017 Q1,153,23,90,107,168,11,26,10,588,21.8,3.9,74.3
2017 Q2,176,22,98,102,164,7,30,18,617,20.6,3.6,75.9
2017 Q3,159,17,75,100,142,10,37,19,559,23.1,3.0,73.9
2017 Q4,167,26,105,109,130,11,21,14,583,23.0,4.5,72.6
2018 Q1,170,25,91,113,163,10,41,17,630,22.2,4.0,73.8
2018 Q2,192,20,100,121,168,7,38,26,672,22.9,3.0,74.1
2018 Q3,182,29,114,132,182,7,25,34,705,24.5,4.1,71.3
2018 Q4,153,46,106,139,178,11,32,22,687,25.0,6.7,68.3
2019 Q1,198,81,110,144,211,12,51,33,840,22.5,9.6,67.9
2019 Q2,219,101,113,177,189,17,61,29,906,24.6,11.1,64.2
2019 Q3,189,111,117,153,167,5,184,30,956,19.7,11.6,68.7
2019 Q4,130,67,84,137,148,13,116,23,718,24.1,9.3,66.6
2020 Q1,161,62,101,121,193,11,92,32,773,21.2,8.0,70.8
2020 Q2,70,50,37,86,78,5,43,9,378,26.5,13.2,60.3
2020 Q3,69,78,29,78,105,3,43,17,422,23.2,18.5,58.3
2020 Q4,70,104,35,97,135,4,57,16,518,22.6,20.1,57.3
2021 Q1,83,125,27,104,121,3,57,32,552,25.2,22.6,52.2
2021 Q2,76,154,34,136,167,5,70,34,676,25.9,22.8,51.3
2021 Q3,120,117,43,160,191,5,68,37,741,27.3,15.8,57.0
2021 Q4,117,113,50,144,213,7,70,39,753,25.2,15.0,59.8
2022 Q1,117,91,47,172,225,5,73,44,774,28.6,11.8,59.7
2022 Q2,112,124,60,147,256,8,62,34,803,23.5,15.4,61.0
2022 Q3,122,128,37,158,236,10,64,30,785,25.2,16.3,58.5
2022 Q4,130,106,47,151,174,12,49,27,696,27.3,15.2,57.5
2023 Q1,178,123,47,169,220,9,91,33,870,24.3,14.1,61.6
2023 Q2,170,140,71,151,210,8,113,42,905,22.2,15.5,62.3
2023 Q3,168,120,61,156,173,15,83,26,802,24.6,15.0,60.5
2023 Q4,190,124,56,119,168,8,52,19,736,19.8,16.8,63.3
2024 Q1,184,108,53,134,192,11,51,17,750,21.6,14.4,64.0
2024 Q2,185,138,63,160,203,11,56,29,845,23.7,16.3,60.0
2024 Q3,202,156,49,169,215,11,67,24,893,22.8,17.5,59.7
2024 Q4,202,135,48,152,216,7,55,31,846,22.5,16.0,61.6
2025 Q1,175,158,55,158,211,8,55,33,853,23.3,18.5,58.1
2025 Q2,203,202,56,147,206,4,51,43,912,21.3,22.1,56.6
2025 Q3,240,178,58,152,216,7,66,32,949,20.1,18.8,61.1
2025 Q4,197,159,55,173,193,8,56,25,866,23.8,18.4,57.9
2026 Q1,201,183,72,179,169,10,78,23,915,23.2,20.0,56.8
2026 Q2,158,219,47,100,142,5,66,24,761,17.0,28.8,54.3
