District,Disposition Year,Highest Income Neighborhood Incarceration,Highest Income Neighborhood No Incarceration,Highest Income Neighborhood Total Cases,Lowest Income Neighborhood Incarceration,Lowest Income Neighborhood No Incarceration,Lowest Income Neighborhood Total Cases,Percent of cases from highest income zip code incarcerated,Percent of cases from lowest income zip code incarcerated
02,2019,227,113,340,305,142,447,66.76470588,68.23266219
02,2020,107,103,210,168,125,293,50.95238095,57.33788396
02,2021,153,119,272,196,151,347,56.25,56.48414986
02,2022,173,134,307,222,196,418,56.35179153,53.11004785
02,2023,171,169,340,280,202,482,50.29411765,58.09128631
02,2024,181,158,339,225,193,418,53.39233038,53.8277512
