Disposition Year,Credit for time served,Probation,Probation plus Jail,Jail,Community Corrections,Youth Corrections,Prison
2022,6,1116,215,14,366,34,916
2023,7,1130,199,32,193,46,1028
2024,8,1169,219,17,216,47,910
2025,14,1144,182,17,210,40,904
