Disposition Quarter,NoPretrialDetention,PretrialDetention,Total,Percent of defendants detained pretrial
2017 Q1,1689,52,1741,3.0
2017 Q2,1810,50,1860,2.7
2017 Q3,1420,50,1470,3.4
2017 Q4,1462,69,1531,4.5
2018 Q1,1585,66,1651,4.0
2018 Q2,1525,143,1668,8.6
2018 Q3,1738,128,1866,6.9
2018 Q4,1656,120,1776,6.8
2019 Q1,1866,133,1999,6.7
2019 Q2,2092,141,2233,6.3
2019 Q3,2382,137,2519,5.4
2019 Q4,1633,138,1771,7.8
2020 Q1,1677,131,1808,7.2
2020 Q2,862,71,933,7.6
2020 Q3,1126,70,1196,5.9
2020 Q4,1246,66,1312,5.0
2021 Q1,1427,80,1507,5.3
2021 Q2,1609,136,1745,7.8
2021 Q3,1343,308,1651,18.7
2021 Q4,1016,458,1474,31.1
2022 Q1,1064,449,1513,29.7
2022 Q2,1102,470,1572,29.9
2022 Q3,1035,496,1531,32.4
2022 Q4,949,403,1352,29.8
2023 Q1,1112,448,1560,28.7
2023 Q2,1105,415,1520,27.3
2023 Q3,1106,383,1489,25.7
2023 Q4,1030,371,1401,26.5
2024 Q1,1062,367,1429,25.7
2024 Q2,1267,407,1674,24.3
2024 Q3,1228,385,1613,23.9
2024 Q4,1192,391,1583,24.7
2025 Q1,1239,392,1631,24.0
2025 Q2,1320,423,1743,24.3
2025 Q3,1229,414,1643,25.2
2025 Q4,1129,381,1510,25.2
