DispositionQuarter,New case filed within 180 days - felony defendants,No new case filed within 180 days - felony defendants,Total Felony Defendants,Percent of felony defendants with new case filed within 1 year,New case filed within 180 days - misdemeanor defendants,No new case filed within 180 days - misdemeanor defendants,Total Misdemeanor Defendants,Percent of misdemeanor defendants with new case filed within 1 year
2018 Q3,32,135,167,19.16167665,133,814,947,14.04435058
2019 Q2,28,151,179,15.6424581,127,1000,1127,11.26885537
2020 Q4,33,171,204,16.17647059,69,535,604,11.42384106
2025 Q3,69,199,268,25.74626866,84,349,433,19.39953811
2021 Q3,55,182,237,23.20675105,94,587,681,13.80323054
2023 Q1,78,223,301,25.91362126,80,345,425,18.82352941
2017 Q3,30,135,165,18.18181818,89,617,706,12.60623229
2025 Q4,53,188,241,21.99170124,67,313,380,17.63157895
2021 Q2,40,165,205,19.51219512,114,770,884,12.8959276
2019 Q1,36,166,202,17.82178218,105,823,928,11.31465517
2022 Q2,64,240,304,21.05263158,85,411,496,17.13709677
2018 Q1,25,159,184,13.58695652,95,707,802,11.84538653
2019 Q4,25,131,156,16.02564103,117,830,947,12.35480465
2021 Q1,44,182,226,19.46902655,88,666,754,11.67108753
2019 Q3,33,141,174,18.96551724,157,1330,1487,10.55817081
2024 Q1,63,202,265,23.77358491,91,329,420,21.66666667
2018 Q2,23,130,153,15.03267974,118,683,801,14.73158552
2020 Q1,42,174,216,19.44444444,107,707,814,13.14496314
2023 Q4,76,181,257,29.57198444,77,337,414,18.59903382
2018 Q4,31,132,163,19.01840491,89,792,881,10.10215664
2020 Q3,26,151,177,14.68926554,68,525,593,11.46711636
2017 Q4,33,126,159,20.75471698,91,630,721,12.62135922
2024 Q3,64,228,292,21.91780822,83,367,450,18.44444444
2024 Q2,79,236,315,25.07936508,120,395,515,23.30097087
2017 Q1,22,128,150,14.66666667,112,855,967,11.58221303
2022 Q3,67,235,302,22.18543046,94,383,477,19.70649895
2025 Q1,65,253,318,20.44025157,81,374,455,17.8021978
2023 Q2,77,204,281,27.40213523,64,351,415,15.42168675
2017 Q2,20,131,151,13.24503311,95,946,1041,9.12584054
2020 Q2,30,121,151,19.86754967,45,363,408,11.02941176
2023 Q3,72,230,302,23.8410596,80,354,434,18.43317972
2022 Q1,59,218,277,21.29963899,95,418,513,18.51851852
2024 Q4,87,221,308,28.24675325,100,327,427,23.41920375
2025 Q2,84,229,313,26.8370607,94,421,515,18.25242718
2021 Q4,72,229,301,23.92026578,73,379,452,16.15044248
2022 Q4,60,183,243,24.69135802,73,354,427,17.09601874
